title,bagofwords
Cry-Baby,comedy musical johnwaters johnnydepp rickilake amylocane susantyrrell comedy musical johnwaters johnnydepp rickilake amylocane susantyrrell whose boyfriend sets good girl gold wins bad boy 1950s baltimore revenge love heart 
Child's Play 2,horror thriller johnlafia alexvincent jennyagutter gerritgraham christineelise horror thriller johnlafia alexvincent jennyagutter gerritgraham christineelise young boy psychiatric hospital foster care far behind claim andy andy soul placed mother determined chucky admitted 
The Witches,adventure comedy family nicolasroeg anjelicahuston maizetterling jasenfisher rowanatkinson adventure comedy family nicolasroeg anjelicahuston maizetterling jasenfisher rowanatkinson young boy stumbles onto witch convention must stop turned mouse even 
Look Who's Talking Too,comedy family romance amyheckerling johntravolta kirstiealley olympiadukakis eliaskoteas comedy family romance amyheckerling johntravolta kirstiealley olympiadukakis eliaskoteas wrapped together standard conflict sibling rivalry new sister new baby mikey engages way time mother girl father bit 
Bird on a Wire,action comedy johnbadham melgibson goldiehawn davidcarradine billduke action comedy johnbadham melgibson goldiehawn davidcarradine billduke relocated fbi informant old flame discovers bad guys stop past ex boyfriend 
Another 48 Hrs.,action comedy crime walterhill eddiemurphy nicknolte brionjames kevintighe action comedy crime walterhill eddiemurphy nicknolte brionjames kevintighe san francisco bay area ruthless drug lord operating con reggie hammond jack cates time take iceman ex enlists aid 
Night of the Living Dead,horror tomsavini tonytodd patriciatallman tomtowles mckeeanderson horror tomsavini tonytodd patriciatallman tomtowles mckeeanderson seven refugees seek shelter seek human victims unburied dead return pennsylvanian countryside situation odds life house group deal 
The Rescuers Down Under,animation adventure crime hendelbutoy mikegabriel bobnewhart evagabor johncandy tristanrogers animation adventure crime hendelbutoy mikegabriel bobnewhart evagabor johncandy tristanrogers rare golden eagle murderous poacher miss bianca little boy save race r bernard australia agents 
Presumed Innocent,mystery thriller alanj.pakula harrisonford rauljulia gretascacchi briandennehy mystery thriller alanj.pakula harrisonford rauljulia gretascacchi briandennehy lawyer investigates anyone else murder finds crime connected colleague 
Joe Versus the Volcano,comedy romance johnpatrickshanley tomhanks megryan lloydbridges robertstack comedy romance johnpatrickshanley tomhanks megryan lloydbridges robertstack truly live tropical island hypochondriac learns learns way volcano throw offer dying along accepts 
Lionheart,action crime drama sheldonlettich jean-claudevandamme harrisonpage deborahrennard lisapelikan action crime drama sheldonlettich jean-claudevandamme harrisonpage deborahrennard lisapelikan french soldier begins participating underground street fights make money order family ex brother 
King of New York,crime thriller abelferrara christopherwalken davidcaruso laurencefishburne victorargo crime thriller abelferrara christopherwalken davidcaruso laurencefishburne victorargo take total control give back drug kingpin criminal underworld seeks released prison order community 
Young Guns II,action western geoffmurphy emilioestevez kiefersutherland loudiamondphillips christianslater action western geoffmurphy emilioestevez kiefersutherland loudiamondphillips christianslater cattle baron john chisum pays patrick floyd garrett kill outlaw billy kid bounty 1881 
Troll 2,comedy fantasy horror claudiofragasso michaelpaulstephenson georgehardy margoprey connieyoung comedy fantasy horror claudiofragasso michaelpaulstephenson georgehardy margoprey connieyoung vacationing family discovers entire town visiting plan inhabited humans goblins eat disguised 
Mermaids,comedy drama romance richardbenjamin cher bobhoskins winonaryder michaelschoeffling comedy drama romance richardbenjamin cher bobhoskins winonaryder michaelschoeffling unconventional single mother relocates small massachusetts town two daughters familial bonds strengthen relationships number events challenge 1963 
Problem Child,comedy family dennisdugan michaeloliver johnritter jackwarden gilbertgottfried comedy family dennisdugan michaeloliver johnritter jackwarden gilbertgottfried laughs keep coming young boy wacky wife loving man boy pushes short monster limits adopted 
Lord of the Flies,adventure drama thriller harryhook balthazargetty chrisfurrh danuelpipoly jamesbadgedale adventure drama thriller harryhook balthazargetty chrisfurrh danuelpipoly jamesbadgedale schoolboys degenerate stranded savagery island group 
Hard to Kill,action crime drama brucemalmuth stevenseagal kellylebrock williamsadler frederickcoffin action crime drama brucemalmuth stevenseagal kellylebrock williamsadler frederickcoffin detective mason storm wife killed take revenge quick recovery murder make left l house expose dead behind 
Air America,action comedy war rogerspottiswoode melgibson robertdowneyjr. nancytravis kenjenkins action comedy war rogerspottiswoode melgibson robertdowneyjr. nancytravis kenjenkins young pilot finds airlift organization operating vietnam war recruited unwittingly era laos corrupt c covert 
Memphis Belle,action drama war michaelcaton-jones matthewmodine ericstoltz tatedonovan d.b.sweeney action drama war michaelcaton-jones matthewmodine ericstoltz tatedonovan d.b.sweeney last bombing mission uk prepares returning home 17 based usa germany crew b 25th 1943 
Pump Up the Volume,comedy drama music allanmoyle christianslater samanthamathis anthonylucero andyromano comedy drama music allanmoyle christianslater samanthamathis anthonylucero andyromano pirate radio station enthralls fellow teens mark runs uproar speaks mind causes 
The Silence of the Lambs,crime drama thriller jonathandemme jodiefoster anthonyhopkins lawrencea.bonney kasilemmons crime drama thriller jonathandemme jodiefoster anthonyhopkins lawrencea.bonney kasilemmons help catch another serial killer manipulative cannibal killer cadet must receive young f help victims skins madman incarcerated b 
Terminator 2: Judgment Day,action sci-fi jamescameron arnoldschwarzenegger lindahamilton edwardfurlong robertpatrick action sci-fi jamescameron arnoldschwarzenegger lindahamilton edwardfurlong robertpatrick ten year old son kill sarah connor john connor powerful cyborg cyborg protect one must identical failed advanced 
Beauty and the Beast,animation family fantasy garytrousdale kirkwise paigeo'hara robbybenson jessecorti rexeverhart animation family fantasy garytrousdale kirkwise paigeo'hara robbybenson jessecorti rexeverhart hideous monster sets young woman prince cursed spend regain love humanity earning days 
Hook,adventure comedy family stevenspielberg dustinhoffman robinwilliams juliaroberts bobhoskins adventure comedy family stevenspielberg dustinhoffman robinwilliams juliaroberts bobhoskins adult peter pan must return captain james hook kidnaps youthful spirit old enemy reclaim order neverland children challenge 
Robin Hood: Prince of Thieves,action adventure drama kevinreynolds kevincostner morganfreeman maryelizabethmastrantonio christianslater action adventure drama kevinreynolds kevincostner morganfreeman maryelizabethmastrantonio christianslater moorish companion come fight back tyranny sheriff robin outlaw nottingham england decides 
Cape Fear,crime thriller martinscorsese robertdeniro nicknolte jessicalange juliettelewis crime thriller martinscorsese robertdeniro nicknolte jessicalange juliettelewis year sentence originally defended convicted rapist stalks serving released prison lawyer fourteen family 
Point Break,action crime thriller kathrynbigelow patrickswayze keanureeves garybusey loripetty action crime thriller kathrynbigelow patrickswayze keanureeves garybusey loripetty agent goes undercover bank robbers surfers may gang f catch b 
JFK,drama history thriller oliverstone kevincostner garyoldman jacklemmon waltermatthau drama history thriller oliverstone kevincostner garyoldman jacklemmon waltermatthau new orleans district attorney jim garrison discovers official story kennedy assassination 
Thelma & Louise,adventure crime drama ridleyscott susansarandon geenadavis harveykeitel michaelmadsen adventure crime drama ridleyscott susansarandon geenadavis harveykeitel michaelmadsen two best friends set two girls escape soon turns around terrifying escape police hunted crimes committed adventure 
The Addams Family,comedy fantasy barrysonnenfeld anjelicahuston rauljulia christopherlloyd danhedaya comedy fantasy barrysonnenfeld anjelicahuston rauljulia christopherlloyd danhedaya eccentric family using con artists plan lost uncle long fleece claims accomplice 
Boyz n the Hood,crime drama johnsingleton cubagoodingjr. laurencefishburne hudhailal-amir lloydaveryii crime drama johnsingleton cubagoodingjr. laurencefishburne hudhailal-amir lloydaveryii three young males living los angeles future prospects dissecting questions crenshaw ghetto violence relationships race lives follows 
Barton Fink,comedy drama thriller joelcoen ethancoen johnturturro johngoodman judydavis michaellerner comedy drama thriller joelcoen ethancoen johnturturro johngoodman judydavis michaellerner renowned new york playwright hellish truth write movies hollywood enticed discovers california 
The Naked Gun 2½: The Smell of Fear,comedy crime davidzucker leslienielsen priscillapresley georgekennedy o.j.simpson comedy crime davidzucker leslienielsen priscillapresley georgekennedy o.j.simpson lieutenant frank drebin discovers advocates solar energy new beau scientist plot kidnap involved girlfriend ex 
Hot Shots!,action comedy jimabrahams charliesheen caryelwes valeriagolino lloydbridges action comedy jimabrahams charliesheen caryelwes valeriagolino lloydbridges unstable fighter pilot must overcome greedy weapons manufacturers top gun mission sabotaged talented save parody ghosts father 1986 
The Last Boy Scout,action comedy crime tonyscott brucewillis damonwayans chelseafield noblewillingham action comedy crime tonyscott brucewillis damonwayans chelseafield noblewillingham crooked football team owner protected female witness private detective corrupt politician victim prompting murdered leads investigate crime boyfriend 
The Doors,biography drama music oliverstone valkilmer megryan kylemaclachlan frankwhaley biography drama music oliverstone valkilmer megryan kylemaclachlan frankwhaley influential 1960s rock band ucla film student untimely death los angeles lead singer jim morrison age 27 story paris france famous doors days composer 1971 
The Fisher King,comedy drama fantasy terrygilliam jeffbridges robinwilliams adambryant paullombardi comedy drama fantasy terrygilliam jeffbridges robinwilliams adambryant paullombardi former radio dj deranged homeless man unwitting victim suicidally despondent finds redemption terrible mistake mistake made helping 
My Girl,comedy drama family howardzieff annachlumsky macaulayculkin danaykroyd jamieleecurtis comedy drama family howardzieff annachlumsky macaulayculkin danaykroyd jamieleecurtis life turning upside young girl unlikely friend teen years threshold finds accompanied 
Backdraft,action crime drama ronhoward kurtrussell williambaldwin robertdeniro donaldsutherland action crime drama ronhoward kurtrussell williambaldwin robertdeniro donaldsutherland two chicago firefighter brothers work together get along dangerous arsonist loose 
Star Trek VI: The Undiscovered Country,action adventure sci-fi nicholasmeyer williamshatner leonardnimoy deforestkelley jamesdoohan action adventure sci-fi nicholasmeyer williamshatner leonardnimoy deforestkelley jamesdoohan enterprise crew must help last best hope klingon high chancellor conspiracy aimed thwart sabotaging retirement peace mccoy kirk imprisoned eve escape charged assassinating 
Bill & Ted's Bogus Journey,adventure comedy fantasy peterhewitt keanureeves alexwinter williamsadler jossackland adventure comedy fantasy peterhewitt keanureeves alexwinter williamsadler jossackland future creates evil android doubles tyrant ted sends originals eliminate bill back 
Father of the Bride,comedy family romance charlesshyer stevemartin dianekeaton martinshort kimberlywilliams-paisley comedy family romance charlesshyer stevemartin dianekeaton martinshort kimberlywilliams-paisley wedding approaching oldest daughter let go father finds reluctant 
Fried Green Tomatoes,drama jonavnet kathybates jessicatandy marystuartmasterson mary-louiseparker drama jonavnet kathybates jessicatandy marystuartmasterson mary-louiseparker old lady nursing home life befriends used unhappy tells tales people know housewife enthralled 
What About Bob?,comedy frankoz billmurray richarddreyfuss juliehagerty charliekorsmo comedy frankoz billmurray richarddreyfuss juliehagerty charliekorsmo successful psychotherapist loses family vacation dependent patients compulsive neurotic tracks one obsessive mind 
Night on Earth,comedy drama jimjarmusch winonaryder genarowlands lisannefalk alanrandolphscott comedy drama jimjarmusch winonaryder genarowlands lisannefalk alanrandolphscott 5 different cab drivers 5 american remarkable fares eventful night european cities anthology 
The Rocketeer,action adventure family joejohnston billycampbell jenniferconnelly alanarkin timothydalton action adventure family joejohnston billycampbell jenniferconnelly alanarkin timothydalton young pilot stumbles onto flying masked hero prototype jetpack high become allows 
Hudson Hawk,action adventure comedy michaellehmann brucewillis dannyaiello andiemacdowell jamescoburn action adventure comedy michaellehmann brucewillis dannyaiello andiemacdowell jamescoburn steal da vinci works world domination plot cat burglar forced art 
Teenage Mutant Ninja Turtles II: The Secret of the Ooze,action adventure comedy michaelpressman paigeturco davidwarner michelansisti leiftilden action adventure comedy michaelpressman paigeturco davidwarner michelansisti leiftilden shredder wants shredder battle new mutants last canister unleash turtles time ooze created army 
My Own Private Idaho,drama gusvansant riverphoenix keanureeves jamesrusso williamrichert drama gusvansant riverphoenix keanureeves jamesrusso williamrichert two best friends living relationship stumbling along self discovery hustlers embark way streets portland journey find 
Sleeping with the Enemy,drama thriller josephruben juliaroberts patrickbergin kevinanderson elizabethlawrence drama thriller josephruben juliaroberts patrickbergin kevinanderson elizabethlawrence young woman fakes nightmarish marriage controlling husband impossible escape elude discovers death attempt 
City Slickers,comedy western ronunderwood billycrystal jackpalance danielstern brunokirby comedy western ronunderwood billycrystal jackpalance danielstern brunokirby unhappy manhattan yuppie two friends turning 40 cattle drive verge southwest roped joining 
Naked Lunch,drama davidcronenberg peterweller judydavis ianholm juliansands drama davidcronenberg peterweller judydavis ianholm juliansands secret government plot exterminator accidentally kills port town north africa kill bugs giant bugs becomes involved wife uses substance orchestrated developing addiction 
Highlander II: The Quickening,action adventure fantasy russellmulcahy christopherlambert seanconnery virginiamadsen michaelironside action adventure fantasy russellmulcahy christopherlambert seanconnery virginiamadsen michaelironside highlander connor macleod must prevent ozone shield future earth destruction anti 
Freddy's Dead: The Final Nightmare,fantasy horror racheltalalay robertenglund lisazane shongreenblatt lezliedeane fantasy horror racheltalalay robertenglund lisazane shongreenblatt lezliedeane woman whose personal connection haunting freddy krueger returns krueger may mean last surviving teenager springwood prowl nightmares dream doom 
Double Impact,action crime sheldonlettich jean-claudevandamme geoffreylewis alonnashaw corinnaeverson action crime sheldonlettich jean-claudevandamme geoffreylewis alonnashaw corinnaeverson 25 years later twin brothers unite separated parents order murdered death avenge 
Child's Play 3,horror thriller jackbender justinwhalin perreyreeves jeremysylvers travisfine horror thriller jackbender justinwhalin perreyreeves jeremysylvers travisfine young boy teenager living military academy chucky returns revenge defeated andy 
Doc Hollywood,comedy drama romance michaelcaton-jones michaelj.fox juliewarner barnardhughes woodyharrelson comedy drama romance michaelcaton-jones michaelj.fox juliewarner barnardhughes woodyharrelson job interview crashes young doctor way across town hospital small town several days work sentenced country car 
The Commitments,comedy drama music alanparker robertarkins michaelaherne angelineball mariadoylekennedy comedy drama music alanparker robertarkins michaelaherne angelineball mariadoylekennedy unemployed dublin boy soul band made irish working class put together jimmy rabbitte entirely decides 
New Jack City,action crime drama mariovanpeebles wesleysnipes ice-t allenpayne chrisrock action crime drama mariovanpeebles wesleysnipes ice-t allenpayne chrisrock maverick police detective vows crime lord ascends becomes megalomaniacal stop power 
The People Under the Stairs,comedy horror mystery wescraven brandonquintinadams everettmcgill wendyrobie a.j.langer comedy horror mystery wescraven brandonquintinadams everettmcgill wendyrobie a.j.langer two adults stolen children must fight juvenile break house occupied sister lives brother 
Oscar,"comedy crime johnlandis sylvesterstallone ornellamuti peterriegert chazzpalminteri comedy crime johnlandis sylvesterstallone ornellamuti peterriegert chazzpalminteri go straight "". would give gangster attempts dying father promise made life keep crime "
Regarding Henry,drama romance mikenichols harrisonford annettebening michaelhaley stanleyswerdlow drama romance mikenichols harrisonford annettebening michaelhaley stanleyswerdlow must relearn speech loving family lawyer loses support shot mobility memory 
L.A. Story,comedy drama fantasy mickjackson stevemartin victoriatennant richarde.grant sarahjessicaparker comedy drama fantasy mickjackson stevemartin victoriatennant richarde.grant sarahjessicaparker early 1990s los angeles wacky weatherman tries talking freeway billboard english newspaper reporter strange world make sense win struggling help heart 
Frankie and Johnny,comedy drama romance garrymarshall alpacino michellepfeiffer hectorelizondo nathanlane comedy drama romance garrymarshall alpacino michellepfeiffer hectorelizondo nathanlane café beside waitress frankie frankie romance released prison loner johnny job gets determined blossom bit 
Don't Tell Mom the Babysitter's Dead,comedy stephenherek christinaapplegate joannacassidy johngetz joshcharles comedy stephenherek christinaapplegate joannacassidy johngetz joshcharles mom leaves town evil babysitter bites left alone five siblings summer dust 
Drop Dead Fred,comedy drama fantasy atedejong phoebecates rikmayall marshamason timmatheson comedy drama fantasy atedejong phoebecates rikmayall marshamason timmatheson already unstable life rocked young woman finds rambunctious imaginary friend presence childhood 
Bugsy,biography crime drama barrylevinson warrenbeatty annettebening harveykeitel benkingsley biography crime drama barrylevinson warrenbeatty annettebening harveykeitel benkingsley siegel started las vegas story bugsy benjamin 
Dead Again,crime drama mystery kennethbranagh kennethbranagh emmathompson andygarcia loishall crime drama mystery kennethbranagh kennethbranagh emmathompson andygarcia loishall past life connection los angeles orphanage soon finds private eye woman track taken might memory lost lives identity enlisted endangers 
An American Tail: Fievel Goes West,animation adventure family philnibbelink simonwells jamesstewart johncleese amyirving phillipglasser animation adventure family philnibbelink simonwells jamesstewart johncleese amyirving phillipglasser emigre mice decide trap perpetrated talking cat west unaware smooth move family falling 
Nothing But Trouble,comedy danaykroyd chevychase danaykroyd johncandy demimoore comedy danaykroyd chevychase danaykroyd johncandy demimoore equally odd family sadistic judge bizarre mansion friends captured businessman backwoods 
Reservoir Dogs,crime drama thriller quentintarantino harveykeitel timroth michaelmadsen chrispenn crime drama thriller quentintarantino harveykeitel timroth michaelmadsen chrispenn simple jewelry heist goes horribly wrong surviving criminals begin police informant suspect one 
Unforgiven,"drama western clinteastwood clinteastwood genehackman morganfreeman richardharris drama western clinteastwood clinteastwood genehackman morganfreeman richardharris retired old west gunslinger william munny reluctantly takes old partner ned logan schofield kid ."" one last job young man help "
Aladdin,animation adventure comedy ronclements johnmusker scottweinger robinwilliams lindalarkin jonathanfreeman animation adventure comedy ronclements johnmusker scottweinger robinwilliams lindalarkin jonathanfreeman hungry grand vizier vie deepest wishes come true kindhearted street urchin magic lamp power make 
Home Alone 2: Lost in New York,adventure comedy crime chriscolumbus macaulayculkin joepesci danielstern catherineo'hara adventure comedy crime chriscolumbus macaulayculkin joepesci danielstern catherineo'hara new york city left home alone one year kevin mccallister far behind bumbling burglars accidentally finds stranded pair defeat criminals 
Alien³,action horror sci-fi davidfincher sigourneyweaver charless.dutton charlesdance paulmcgann action horror sci-fi davidfincher sigourneyweaver charless.dutton charlesdance paulmcgann deadly events occur shortly maximum security prison ellen ripley crash ripley realizes unwelcome visitor last encounter fiorina 161 brought along strange series lands arrival 
Batman Returns,action crime fantasy timburton michaelkeaton dannydevito michellepfeiffer christopherwalken action crime fantasy timburton michaelkeaton dannydevito michellepfeiffer christopherwalken penguin wreaking havoc across gotham deformed man calling latter becomes female employee cruel businessman batman deals vendetta help catwoman 
Scent of a Woman,drama martinbrest alpacino chriso'donnell jamesrebhorn gabrielleanwar drama martinbrest alpacino chriso'donnell jamesrebhorn gabrielleanwar prep school student needing money agrees blind man job babysit anticipated 
A Few Good Men,drama thriller robreiner tomcruise jacknicholson demimoore kevinbacon drama thriller robreiner tomcruise jacknicholson demimoore kevinbacon military lawyer lieutenant daniel kaffee defends marines accused orders murder contend acting 
Dracula,horror francisfordcoppola garyoldman winonaryder anthonyhopkins keanureeves horror francisfordcoppola garyoldman winonaryder anthonyhopkins keanureeves centuries old vampire count dracula comes fiancée mina murray barrister jonathan harker inflict havoc foreign land seduce england 
Basic Instinct,drama mystery thriller paulverhoeven michaeldouglas sharonstone georgedzundza jeannetripplehorn drama mystery thriller paulverhoeven michaeldouglas sharonstone georgedzundza jeannetripplehorn violent police detective investigates seductive novelist might involve brutal murder manipulative 
Army of Darkness,"comedy horror samraimi brucecampbell embethdavidtz marcusgilbert ianabercrombie comedy horror samraimi brucecampbell embethdavidtz marcusgilbert ianabercrombie sardonic hardware store clerk return home must retrieve accidentally transported necronomicon dead battle army 1300 ., "
Lethal Weapon 3,action crime thriller richarddonner melgibson dannyglover joepesci renerusso action crime thriller richarddonner melgibson dannyglover joepesci renerusso sell confiscated guns roger murtaugh pursue local street gangs former lapd officer police procedure martin riggs uses steal policies knowledge ammunition 
The Last of the Mohicans,action adventure drama michaelmann danielday-lewis madeleinestowe russellmeans ericschweig action adventure drama michaelmann danielday-lewis madeleinestowe russellmeans ericschweig three trappers protect indian war british colonel midst french daughters 
Wayne's World,comedy music penelopespheeris mikemyers danacarvey roblowe tiacarrere comedy music penelopespheeris mikemyers danacarvey roblowe tiacarrere two slacker friends try access cable show public promote 
The Bodyguard,action drama music mickjackson kevincostner whitneyhouston garykemp billcobbs action drama music mickjackson kevincostner whitneyhouston garykemp billcobbs former secret service agent takes whose lifestyle b singer unlike r president job bodyguard 
My Cousin Vinny,comedy crime jonathanlynn joepesci marisatomei ralphmacchio mitchellwhitfield comedy crime jonathanlynn joepesci marisatomei ralphmacchio mitchellwhitfield two new yorkers accused way back trial experience rural alabama loudmouth lawyer college call one murder help cousins 
Death Becomes Her,comedy fantasy horror robertzemeckis merylstreep brucewillis goldiehawn isabellarossellini comedy fantasy horror robertzemeckis merylstreep brucewillis goldiehawn isabellarossellini woman learns time rival immortality treatment way sees outdo long 
Patriot Games,action thriller phillipnoyce harrisonford seanbean annearcher patrickbergin action thriller phillipnoyce harrisonford seanbean annearcher patrickbergin cia analyst jack ryan interferes renegade faction targets ira assassination revenge family 
Glengarry Glen Ross,crime drama mystery jamesfoley alpacino jacklemmon alecbaldwin alanarkin crime drama mystery jamesfoley alpacino jacklemmon alecbaldwin alanarkin real estate office machinations behind scenes examination 
A League of Their Own,comedy drama sport pennymarshall tomhanks geenadavis loripetty madonna comedy drama sport pennymarshall tomhanks geenadavis loripetty madonna first female professional baseball league two sisters join succeed amidst growing rivalry struggle help 
Dead Alive,comedy fantasy horror peterjackson timothybalme dianapeñalver elizabethmoody ianwatkin comedy fantasy horror peterjackson timothybalme dianapeñalver elizabethmoody ianwatkin young man sumatran rat gets sick eating dogs comes back time nurses neighbors mother monkey life killing friends dies bitten 
Sister Act,comedy crime family emileardolino whoopigoldberg maggiesmith kathynajimy wendymakkena comedy crime family emileardolino whoopigoldberg maggiesmith kathynajimy wendymakkena soulful chorus complete take refuge sudden celebrity nightclub singer motown repertoire choir jeopardizes convent choir convent turning mob identity forced ends 
Twin Peaks: Fire Walk with Me,drama horror mystery davidlynch sheryllee raywise mädchenamick danaashbrook drama horror mystery davidlynch sheryllee raywise mädchenamick danaashbrook harrowing final days chronicled one year twin peaks teresa banks neighboring town laura palmer resident murder 
