title,bagofwords
First Man,biography drama history damienchazelle ryangosling clairefoy jasonclarke kylechandler biography drama history damienchazelle ryangosling clairefoy jasonclarke kylechandler legendary space mission neil armstrong july 20 first man walk moon look life led become astronaut 1969 
Red Sparrow,"action drama thriller francislawrence jenniferlawrence joeledgerton matthiasschoenaerts charlotterampling action drama thriller francislawrence jenniferlawrence joeledgerton matthiasschoenaerts charlotterampling sparrow school ,' russian intelligence service ballerina dominika egorova first mission weapon use unravel threatens targeting security recruited nations forced c body agent "
Upgrade,action sci-fi thriller leighwhannell loganmarshall-green melanievallejo stevedanielsen abbycraden action sci-fi thriller leighwhannell loganmarshall-green melanievallejo stevedanielsen abbycraden experimental computer chip implant technology controls nearly turned upside labeled technophobe world set self revenge near life hope grey future aspects 
The Meg,action horror sci-fi jonturteltaub jasonstatham bingbingli rainnwilson cliffcurtis action horror sci-fi jonturteltaub jasonstatham bingbingli rainnwilson cliffcurtis marianas trench encounter largest marine predator scientists exploring ever existed megalodon group 
Rampage,action adventure sci-fi bradpeyton dwaynejohnson naomieharris malinakerman jeffreydeanmorgan action adventure sci-fi bradpeyton dwaynejohnson naomieharris malinakerman jeffreydeanmorgan three different animals become infected geneticist team destroying chicago dangerous pathogen stop primatologist 
Crazy Rich Asians,comedy drama romance jonm.chu constancewu henrygolding michelleyeoh gemmachan comedy drama romance jonm.chu constancewu henrygolding michelleyeoh gemmachan follows native new yorker rachel chu contemporary romantic comedy global bestseller singapore meet family boyfriend based 
Searching,drama mystery thriller aneeshchaganty johncho debramessing josephlee michellela drama mystery thriller aneeshchaganty johncho debramessing josephlee michellela teenage daughter goes missing desperate father tries find clues laptop 
Isle of Dogs,animation adventure comedy wesanderson bryancranston koyurankin edwardnorton bobbalaban animation adventure comedy wesanderson bryancranston koyurankin edwardnorton bobbalaban lost dog dogs follows set search odyssey japan isle boy 
Roma,drama alfonsocuarón yalitzaaparicio marinadetavira diegocortinaautrey carlosperalta drama alfonsocuarón yalitzaaparicio marinadetavira diegocortinaautrey carlosperalta mexico city early 1970s class family year middle maid life 
Bumblebee,action adventure sci-fi travisknight haileesteinfeld jorgelendeborgjr. johncena jasondrucker action adventure sci-fi travisknight haileesteinfeld jorgelendeborgjr. johncena jasondrucker small california beach town charlie watson discovers bumblebee bumblebee finds refuge year 1987 turning 18 world trying scarred run place junkyard find cusp broken battle 
The Equalizer 2,action crime thriller antoinefuqua denzelwashington pedropascal ashtonsanders orsonbean action crime thriller antoinefuqua denzelwashington pedropascal ashtonsanders orsonbean robert mccall serves unflinching justice someone oppressed loves go far exploited 
Ralph Breaks the Internet,"animation adventure comedy philjohnston richmoore johnc.reilly sarahsilverman galgadot tarajip.henson animation adventure comedy philjohnston richmoore johnc.reilly sarahsilverman galgadot tarajip.henson ralph ,"" ralph six years new adventure fi router wreck wi vanellope leading friends events discover arcade "
A Simple Favor,comedy crime mystery paulfeig annakendrick blakelively henrygolding andrewrannells comedy crime mystery paulfeig annakendrick blakelively henrygolding andrewrannells emily goes missing befriends emily single mother secretive upper parenting vlog elementary school class woman stephanie takes stephanie upon investigate child 
Bad Times at the El Royale,crime drama mystery drewgoddard jeffbridges cynthiaerivo dakotajohnson jonhamm crime drama mystery drewgoddard jeffbridges cynthiaerivo dakotajohnson jonhamm single desk clerk four strangers check el royale hotel new guests early 1970s hotel staffed reasons less innocent deserted appear 
Sicario: Day of the Soldado,action adventure crime stefanosollima beniciodeltoro joshbrolin isabelamerced jeffreydonovan action adventure crime stefanosollima beniciodeltoro joshbrolin isabelamerced jeffreydonovan federal agent matt graver begun trafficking terrorists across .- mexico border us border mercurial alejandro drug war war u teams fight escalated cartels 
Vice,biography comedy drama adammckay christianbale amyadams stevecarell samrockwell biography comedy drama adammckay christianbale amyadams stevecarell samrockwell unassuming bureaucratic washington insider quietly wielded immense power still feel today vice president george w dick cheney ways story reshaping globe country bush 
The Ballad of Buster Scruggs,comedy drama musical ethancoen joelcoen timblakenelson williewatson clancybrown dannymccarthy comedy drama musical ethancoen joelcoen timblakenelson williewatson clancybrown dannymccarthy wagon train traveling impresario six tales singing gunslinger perverse pair old west elderly prospector bounty hunters bank robber violence life following 
Halloween,crime horror thriller davidgordongreen jamieleecurtis judygreer andimatichak jamesjudecourtney crime horror thriller davidgordongreen jamieleecurtis judygreer andimatichak jamesjudecourtney halloween night four decades ago time foe michael myers laurie strode confronts narrowly escaped masked figure killing spree since long haunted 
The Nun,horror mystery thriller corinhardy demiánbichir taissafarmiga jonasbloquet bonnieaarons horror mystery thriller corinhardy demiánbichir taissafarmiga jonasbloquet bonnieaarons young nun malevolent force haunted past final vows demonic nun vatican threshold sent romania priest novice investigate form death confront 
Tag,action comedy jefftomsic jeremyrenner edhelms jakejohnson jonhamm action comedy jefftomsic jeremyrenner edhelms jakejohnson jonhamm former classmates organize small group annual game travel tag requires elaborate country 
The Mule,crime drama thriller clinteastwood clinteastwood patrickl.reyes cesardeleón gustavomuñoz crime drama thriller clinteastwood clinteastwood patrickl.reyes cesardeleón gustavomuñoz korean war veteran turns drug mule old horticulturist mexican cartel year ninety 
Maze Runner: The Death Cure,"action adventure sci-fi wesball dylano'brien kihonglee kayascodelario thomasbrodie-sangster action adventure sci-fi wesball dylano'brien kihonglee kayascodelario thomasbrodie-sangster young hero thomas embarks deadly disease known flare "". mission find cure "
The Predator,action adventure sci-fi shaneblack boydholbrook trevanterhodes jacobtremblay keegan-michaelkey action adventure sci-fi shaneblack boydholbrook trevanterhodes jacobtremblay keegan-michaelkey young boy accidentally triggers ragtag crew lethal hunters human race disgruntled scientist universe soldiers return prevent ex end earth 
Mortal Engines,action adventure fantasy christianrivers herahilmar robertsheehan hugoweaving jihae action adventure fantasy christianrivers herahilmar robertsheehan hugoweaving jihae two people meet cities ride apocalyptic world wheels try survive stop post london consume conspiracy 
Skyscraper,action adventure thriller rawsonmarshallthurber dwaynejohnson nevecampbell chinhan rolandmøller action adventure thriller rawsonmarshallthurber dwaynejohnson nevecampbell chinhan rolandmøller security expert must infiltrate trapped inside burning skyscraper 225 stories ground family criminals 
Creed II,drama sport stevencaplejr. michaelb.jordan sylvesterstallone tessathompson phyliciarashad drama sport stevencaplejr. michaelb.jordan sylvesterstallone tessathompson phyliciarashad newly crowned heavyweight champion adonis creed faces viktor drago rocky balboa ivan drago tutelage son 
Pacific Rim: Uprising,action adventure sci-fi stevens.deknight johnboyega scotteastwood caileespaeny burngorman action adventure sci-fi stevens.deknight johnboyega scotteastwood caileespaeny burngorman old hacker amara including rival lambert new kaiju threat new generation stacker pentecost mako mori jake pentecost jaeger pilots year son reunites lead 15 
The Commuter,action mystery thriller jaumecollet-serra liamneeson verafarmiga patrickwilson jonathanbanks action mystery thriller jaumecollet-serra liamneeson verafarmiga patrickwilson jonathanbanks daily commute home threatening conspiracy insurance salesman thriller life ex cop caught action 
"Love, Simon",comedy drama romance gregberlanti nickrobinson jennifergarner joshduhamel katherinelangford comedy drama romance gregberlanti nickrobinson jennifergarner joshduhamel katherinelangford simon must face everyone simon spier keeps huge secret secret threatened terms identity gay friends family come classmates 
The Cloverfield Paradox,action horror sci-fi juliusonah gugumbatha-raw davidoyelowo danielbrühl johnortiz action horror sci-fi juliusonah gugumbatha-raw davidoyelowo danielbrühl johnortiz dark alternate reality scientists test energy crisis war solve planet orbiting face end device brink 
Den of Thieves,action crime drama christiangudegast gerardbutler pabloschreiber o'sheajacksonjr. 50cent action crime drama christiangudegast gerardbutler pabloschreiber o'sheajacksonjr. 50cent successful bank robbery crew clash federal reserve bank seemingly impossible heist la county sheriff outlaws plan elite unit state dept 
Instant Family,comedy drama seananders markwahlberg rosebyrne isabelamerced gustavoescobar comedy drama seananders markwahlberg rosebyrne isabelamerced gustavoescobar foster three children couple find heads 
To All the Boys I've Loved Before,comedy drama romance susanjohnson lanacondor noahcentineo janelparrish annacathcart comedy drama romance susanjohnson lanacondor noahcentineo janelparrish annacathcart secret love letters love life wreak havoc teenage girl exposed 
Widows,crime drama thriller stevemcqueen violadavis michellerodriguez elizabethdebicki crime drama thriller stevemcqueen violadavis michellerodriguez elizabethdebicki criminal activities take fate debt left behind four women dead husbands common except terms nothing hands future forge conspire 
Overlord,action adventure horror juliusavery jovanadepo wyattrussell mathildeollivier pilouasbæk action adventure horror juliusavery jovanadepo wyattrussell mathildeollivier pilouasbæk american soldiers find horror behind enemy lines small group eve day 
Mamma Mia! Here We Go Again,"comedy musical romance olparker lilyjames amandaseyfried merylstreep cher comedy musical romance olparker lilyjames amandaseyfried merylstreep cher 2008 ), sophie prepares hotel bella donna mamma mia grand reopening five years past mother learns events "
