title,bagofwords
Dick Tracy,action comedy crime warrenbeatty warrenbeatty madonna alpacino charliekorsmo action comedy crime warrenbeatty warrenbeatty madonna alpacino charliekorsmo breathless mahoney makes advances towards comic strip detective finds battle big boy caprice life vastly complicated united mob trying 
Cry-Baby,comedy musical johnwaters johnnydepp rickilake amylocane susantyrrell comedy musical johnwaters johnnydepp rickilake amylocane susantyrrell whose boyfriend sets good girl gold wins bad boy 1950s baltimore revenge love heart 
Child's Play 2,horror thriller johnlafia alexvincent jennyagutter gerritgraham christineelise horror thriller johnlafia alexvincent jennyagutter gerritgraham christineelise young boy psychiatric hospital foster care far behind claim andy andy soul placed mother determined chucky admitted 
The Witches,adventure comedy family nicolasroeg anjelicahuston maizetterling jasenfisher rowanatkinson adventure comedy family nicolasroeg anjelicahuston maizetterling jasenfisher rowanatkinson young boy stumbles onto witch convention must stop turned mouse even 
Look Who's Talking Too,comedy family romance amyheckerling johntravolta kirstiealley olympiadukakis eliaskoteas comedy family romance amyheckerling johntravolta kirstiealley olympiadukakis eliaskoteas wrapped together standard conflict sibling rivalry new sister new baby mikey engages way time mother girl father bit 
Bird on a Wire,action comedy johnbadham melgibson goldiehawn davidcarradine billduke action comedy johnbadham melgibson goldiehawn davidcarradine billduke relocated fbi informant old flame discovers bad guys stop past ex boyfriend 
Another 48 Hrs.,action comedy crime walterhill eddiemurphy nicknolte brionjames kevintighe action comedy crime walterhill eddiemurphy nicknolte brionjames kevintighe san francisco bay area ruthless drug lord operating con reggie hammond jack cates time take iceman ex enlists aid 
Night of the Living Dead,horror tomsavini tonytodd patriciatallman tomtowles mckeeanderson horror tomsavini tonytodd patriciatallman tomtowles mckeeanderson seven refugees seek shelter seek human victims unburied dead return pennsylvanian countryside situation odds life house group deal 
The Rescuers Down Under,animation adventure crime hendelbutoy mikegabriel bobnewhart evagabor johncandy tristanrogers animation adventure crime hendelbutoy mikegabriel bobnewhart evagabor johncandy tristanrogers rare golden eagle murderous poacher miss bianca little boy save race r bernard australia agents 
Presumed Innocent,mystery thriller alanj.pakula harrisonford rauljulia gretascacchi briandennehy mystery thriller alanj.pakula harrisonford rauljulia gretascacchi briandennehy lawyer investigates anyone else murder finds crime connected colleague 
