title,bagofwords
To Gillian on Her 37th Birthday,drama fantasy romance michaelpressman petergallagher michellepfeiffer clairedanes lauriefortier drama fantasy romance michaelpressman petergallagher michellepfeiffer clairedanes lauriefortier wife died 2 years ago teen daughter rachel neglects rachel laws trying beach house david still cute friend wife 2 friend david weekend talks spending fix 
A Thin Line Between Love and Hate,comedy crime drama martinlawrence martinlawrence lynnwhitfield reginaking bobbybrown comedy crime drama martinlawrence martinlawrence lynnwhitfield reginaking bobbybrown zing club promoter next gets paid back fast paced woman beautiful woman psychotic tendencies take scorns punish line heart full breaking 
Carpool,comedy arthurhiller tomarnold davidpaymer rheaperlman rodsteiger comedy arthurhiller tomarnold davidpaymer rheaperlman rodsteiger wife falls sick neighborhood school children taken hostage father finds bank robber carpool 
Kansas City,crime drama music robertaltman jenniferjasonleigh mirandarichardson harrybelafonte michaelmurphy crime drama music robertaltman jenniferjasonleigh mirandarichardson harrybelafonte michaelmurphy complex power dynamics within 1930s kansas city unpredictable workings kidnappings expose pair corrupt 
The Van,comedy drama stephenfrears colmmeaney donalo'kelly gerryan carolinerothwell comedy drama stephenfrears colmmeaney donalo'kelly gerryan carolinerothwell successful burger van fictional dublin suburb made redundant best friend set loses larry job help bimbo barrytown baker acquires 
The Evening Star,comedy drama romance robertharling shirleymaclaine billpaxton juliettelewis mirandarichardson comedy drama romance robertharling shirleymaclaine billpaxton juliettelewis mirandarichardson rebellious ... see full summary » one grandson latter years family together aurora struggled aurora greenway story keep jail death daughter continuing 
Loch Ness,adventure drama fantasy johnhenderson teddanson joelyrichardson ianholm harrisyulin adventure drama fantasy johnhenderson teddanson joelyrichardson ianholm harrisyulin loch ness monster scientist tries prove existence 
The Sunchaser,crime drama michaelcimino woodyharrelson jonseda annebancroft alexandratydings crime drama michaelcimino woodyharrelson jonseda annebancroft alexandratydings ... see full summary » five thousand dollar sports car million dollar house one hundred seventy rich oncologist new boost michael reynolds multi monroe career brandon blue 
Beyond Silence,drama music carolinelink sylvietestud tatjanatrieb howieseago emmanuellelaborit drama music carolinelink sylvietestud tatjanatrieb howieseago emmanuellelaborit vice ... see full summary » spoken word important task earliest days childhood lara lara translate since sign parents mute language difficult deaf 
Bastard Out of Carolina,drama anjelicahuston jenniferjasonleigh roneldard glenneheadly lylelovett drama anjelicahuston jenniferjasonleigh roneldard glenneheadly lylelovett new man enters lives adversely affected family ever daughter find picture mother expect 
Solo,action sci-fi thriller norbertobarba mariovanpeebles williamsadler barrycorbin jaimegomez action sci-fi thriller norbertobarba mariovanpeebles williamsadler barrycorbin jaimegomez maintain ... see full summary » mario van peebles stars android killing weapon designed natives fighting simply latin american war utilized rebels military enter destroy 
Moll Flanders,drama romance pendensham robinwright morganfreeman stockardchanning johnlynch drama romance pendensham robinwright morganfreeman stockardchanning johnlynch ... see full summary » abusive priest lead moll young moll thief teenager rebel placed nunnery mother however execution daughter care actions 
Last Dance,drama thriller bruceberesford sharonstone robmorrow randyquaid petergallagher drama thriller bruceberesford sharonstone robmorrow randyquaid petergallagher death row finds lawyer assigned impending execution deep friendship clemency case woman tries prevent forming 
If Lucy Fell,comedy romance ericschaeffer sarahjessicaparker ericschaeffer benstiller ellemacpherson comedy romance ericschaeffer sarahjessicaparker ericschaeffer benstiller ellemacpherson two nyc roomies found life partners month away brooklyn bridge pact less jump 30 
Silent Trigger,action drama thriller russellmulcahy dolphlundgren ginabellman conraddunn christopherheyerdahl action drama thriller russellmulcahy dolphlundgren ginabellman conraddunn christopherheyerdahl covert mission goes terribly wrong former special forces soldier fellow assassin clegg become top secret government agency heavily armed assassin prime targets agency working waxman 
Dear God,comedy garrymarshall gregkinnear lauriemetcalf mariapitillo timconway comedy garrymarshall gregkinnear lauriemetcalf mariapitillo timconway god start getting results post office people everywhere letters written replies however annoyed amazed 
Forbidden City Cop,action comedy fantasy stephenchow vincentkok stephenchow carinalau carmanlee tat-mingcheung action comedy fantasy stephenchow vincentkok stephenchow carinalau carmanlee tat-mingcheung martial arts abilities making futuristic machines hilariously anachronistic tale must save kidnapped emperor imperial guard forbidden city wild talent 
Ebola Syndrome,crime horror hermanyau anthonychau-sangwong yeung-mingwan fui-onshing tsui-lingwong crime horror hermanyau anthonychau-sangwong yeung-mingwan fui-onshing tsui-lingwong restaurant employee wanted murder contracts ebola south africa returns home hong kong woman starts raping outbreak 
Grace of My Heart,comedy drama music allisonanders illeanadouglas johnturturro sissyboyd christinapickles comedy drama music allisonanders illeanadouglas johnturturro sissyboyd christinapickles success writing songs recording contract singing edna wins brill building 11 months trying songwriter song singer others nyc make competition 1958 
Kissed,drama romance lynnestopkewich mollyparker peterouterbridge jaybrazeau natashamorley drama romance lynnestopkewich mollyparker peterouterbridge jaybrazeau natashamorley romantic ideals profound relationship death blossom years study necrophilia life embalming child 
American Buffalo,drama michaelcorrente dustinhoffman dennisfranz seannelson drama michaelcorrente dustinhoffman dennisfranz seannelson hand junk shop city losers plot valuable coin three inner seedy second repressed feelings betrayal explode robbery long bitterness 
The Whole Wide World,biography drama romance danireland vincentd'onofrio renéezellweger annwedgeworth harvepresnell biography drama romance danireland vincentd'onofrio renéezellweger annwedgeworth harvepresnell relationship soon develops pulp fiction writer aspiring writer meets slavishly devotion ailing mother 1933 texas two schoolteacher insistence freedom doomed 
Swallowtail Butterfly,crime drama shunjiiwai hiroshimikami chara ayumiitô yôsukeeguchi crime drama shunjiiwai hiroshimikami chara ayumiitô yôsukeeguchi xenophobic japanese metropolis immigrant outcasts living struggles group future alternative 
Boys,drama mystery romance stacycochran winonaryder lukashaas johnc.reilly jameslegros drama mystery romance stacycochran winonaryder lukashaas johnc.reilly jameslegros preparatory school student john baker ... see full summary » patty vare falls quickly discovers found unconscious takes something horse hiding dormitory 
A Family Thing,"comedy drama richardpearce robertduvall jamesearljones michaelbeach irmap.hall comedy drama richardpearce robertduvall jamesearljones michaelbeach irmap.hall letter explaining ... see full summary » jr ., runs equipment rental outfit rarely takes mother dies gimme cap earl pilcher wife parents lives leaving kids arkansas "
Adrenalin: Fear the Rush,action sci-fi thriller albertpyun christopherlambert natashahenstridge norbertweisser elizabethbarondes action sci-fi thriller albertpyun christopherlambert natashahenstridge norbertweisser elizabethbarondes ... see full summary » virulent microflage terrible weapon russian government deadly germ cold war struggle riots power leaked collapsed chaos begun amidst 
Walking and Talking,comedy drama romance nicoleholofcener catherinekeener anneheche amybraverman mirandarhyne comedy drama romance nicoleholofcener catherinekeener anneheche amybraverman mirandarhyne best friend announces insecurity right back amelia thinks insecurity engagement bringing anxiety 
Carla's Song,drama romance war kenloach robertcarlyle oyankacabezas scottglenn salvadorespinoza drama romance war kenloach robertcarlyle oyankacabezas scottglenn salvadorespinoza bus driver george lennox meets carla ... see full summary » profoundly sad life nicaraguan exile living boyfriend missing war time scarred precarious love glasgow back 1987 
The Rich Man's Wife,thriller amyholdenjones halleberry christophermcdonald petergreene cliveowen thriller amyholdenjones halleberry christophermcdonald petergreene cliveowen wife goes meets offers later tracks rich man leaves early man leaves trip preoccupied kill husband crazy couple cabin business 
Shiloh,drama family dalerosenbloom blakeheron michaelmoriarty scottwilson bonniebartlett drama family dalerosenbloom blakeheron michaelmoriarty scottwilson bonniebartlett town southern boy recluse judd travers young beagle must rescue marty preston abusive owner small 
Mr. Toad's Wild Ride,adventure comedy family terryjones stevecoogan ericidle terryjones antonysher adventure comedy family terryjones stevecoogan ericidle terryjones antonysher wealthy landowner mr underground home rat start home back evil weasels weasels toad thrown mole get fight bought 
Race the Sun,adventure comedy drama charlest.kanganis halleberry jimbelushi billhunter caseyaffleck adventure comedy drama charlest.kanganis halleberry jimbelushi billhunter caseyaffleck 1990 world solar challenge high school misfits solar car science fair new teacher win trip introduced inspiration hawaii draw compete bunch build australia attend 
Bloodsport 2,action sport alanmehrez philiptan danielbernhardt jameshong patmorita donaldgibb action sport alanmehrez philiptan danielbernhardt jameshong patmorita donaldgibb talented street fighter ends torturous prison camp deadliest fighting discipline promises sun upon meets sun iron hand teaches self respect release kumite humility fight 
Omega Doom,drama sci-fi thriller albertpyun rutgerhauer shannonwhirry norbertweisser tinacote drama sci-fi thriller albertpyun rutgerhauer shannonwhirry norbertweisser tinacote rumored ... see full summary » small number nuclear winter humans left droids walk taken robots hiding forced fear face earth army 
It's My Party,"drama romance randalkleiser ericroberts gregoryharrison margaretcho brucedavison drama romance randalkleiser ericroberts gregoryharrison margaretcho brucedavison gregory harrison "", attends eric roberts "", things get complicated year battle say goodbye makes arrangements party partner nick nearing hosts friends family ex end die brandon aids 3 "
Mad Dog Time,comedy crime drama larrybishop michaelj.pollard henrysilva gabrielbyrne jeffgoldblum comedy crime drama larrybishop michaelj.pollard henrysilva gabrielbyrne jeffgoldblum vicious rivals threaten temporary boss criminal empire empire boss mobster madhouse control 
"I Love You, I Love You Not",drama romance billyhopkins jeannemoreau clairedanes judelaw jamesvanderbeek drama romance billyhopkins jeannemoreau clairedanes judelaw jamesvanderbeek ... see full summary » born grandmother nana share prep school student daisy daisy tells nana young ethan sad stories school romance problems lives european 
Lilies,crime drama fantasy johngreyson iand.clark marcelsabourin aubertpallascio jasoncadieux crime drama fantasy johngreyson iand.clark marcelsabourin aubertpallascio jasoncadieux youth together old friend bishop comes watch prison play performed love inmates hear forced confession betrayal 
Dream for an Insomniac,romance comedy drama tiffaniedebartolo ioneskye jenniferaniston mackenzieastin michaellandes romance comedy drama tiffaniedebartolo ioneskye jenniferaniston mackenzieastin michaellandes lonely life girl leads meets live however girlfriend dreams boy 
Some Mother's Son,drama history terrygeorge helenmirren fionnulaflanagan aidangillen davido'hara drama history terrygeorge helenmirren fionnulaflanagan aidangillen davido'hara prisoner bobby sands led 1981 hunger strike irish prison criminals rather war two treatment struggle strikers r protest prisoners mothers focuses 
Hard Core Logo,comedy drama music brucemcdonald hughdillon callumkeithrennie johnpyper-ferguson berniecoulson comedy drama music brucemcdonald hughdillon callumkeithrennie johnpyper-ferguson berniecoulson canadian punk rockers get back together underlying psychological darkness within supposedly shot rumors imply road trip dear friend washed travel memory ignore group 
Puddle Cruiser,comedy drama romance jaychandrasekhar jaychandrasekhar kevinheffernan stevelemme paulsoter comedy drama romance jaychandrasekhar jaychandrasekhar kevinheffernan stevelemme paulsoter university court student falls playing rugby fellow student proves masculinity love like ex defending buddies boyfriend 
Forest Warrior,action adventure comedy aaronnorris chucknorris terrykiser maxgail roscoeleebrowne action adventure comedy aaronnorris chucknorris terrykiser maxgail roscoeleebrowne shifting mountain man evil lumberjacks enchanted forest children team shape protect group 
The Ogre,drama volkerschlöndorff johnmalkovich arminmueller-stahl gottfriedjohn mariannesägebrecht drama volkerschlöndorff johnmalkovich arminmueller-stahl gottfriedjohn mariannesägebrecht frenchman abel tiffauges likes children ... see full summary » 2nd world war falsely suspected child molester wants ups soldier recruited protect grown 
Mojave Moon,comedy romance thriller kevindowling dannyaiello annearcher michaelbiehn angelinajolie comedy romance thriller kevindowling dannyaiello annearcher michaelbiehn angelinajolie young ellie picks ellie leaves al violent boyfriend mojave desert car trunk pretty mom al mom sexy ride la get diner crazy body 53 
Female Perversions,drama fantasy thriller susanstreitfeld tildaswinton amymadigan karensillas francesfisher drama fantasy thriller susanstreitfeld tildaswinton amymadigan karensillas francesfisher personal life problems including helping ambitious female attorney wallows female partners meaningless sex kleptomaniac sister male excess dealing 
The War at Home,drama emilioestevez emilioestevez kathybates martinsheen kimberlywilliams-paisley drama emilioestevez emilioestevez kathybates martinsheen kimberlywilliams-paisley young man returns home trouble adjusting back vietnam war stern father civilian life haunted family experiences 
When Saturday Comes,drama sport mariagiese seanbean emilylloyd petepostlethwaite craigkelly drama sport mariagiese seanbean emilylloyd petepostlethwaite craigkelly ... see full summary » drinking brewery worker jimmy muir entire life arrogant lack sheffield respect possesses orientated hard football city authority 
Children of the Revolution,comedy drama romance peterduncan judydavis samneill f.murrayabraham richardroxburgh comedy drama romance peterduncan judydavis samneill f.murrayabraham richardroxburgh young australian woman stalin spent last night civil war brought australia still knew knew love child brink arms 
The Secret Agent,drama thriller christopherhampton bobhoskins patriciaarquette gérarddepardieu jimbroadbent drama thriller christopherhampton bobhoskins patriciaarquette gérarddepardieu jimbroadbent agent ... see full summary » late 19th century russian government political exiles living spying verloc sorts refugees partisans made london anarchists 
Normal Life,crime drama johnmcnaughton ashleyjudd lukeperry brucea.young jimtrue-frost crime drama johnmcnaughton ashleyjudd lukeperry brucea.young jimtrue-frost trying ... see full summary » young idealistic cop emotionally unstable woman gets married drug addiction suffers pam love falls chris beautiful alcoholism 
Gray's Anatomy,comedy drama stevensoderbergh spaldinggray mikemclaughlin melissarobertson alvinhenry comedy drama stevensoderbergh spaldinggray mikemclaughlin melissarobertson alvinhenry monologist spalding gray recounts require risky surgery various pursuits eye affliction doctors inform alternative medicine scalpel doctor avoid 
Titanic,drama romance jamescameron leonardodicaprio katewinslet billyzane kathybates drama romance jamescameron leonardodicaprio katewinslet billyzane kathybates poor artist aboard old aristocrat falls fated r year titanic seventeen luxurious love kind ill 
Good Will Hunting,"drama romance gusvansant robinwilliams mattdamon benaffleck stellanskarsgård drama romance gusvansant robinwilliams mattdamon benaffleck stellanskarsgård needs help find direction psychologist mathematics life janitor hunting gift ., "
Life Is Beautiful,comedy drama romance robertobenigni robertobenigni nicolettabraschi giorgiocantarini giustinodurano comedy drama romance robertobenigni robertobenigni nicolettabraschi giorgiocantarini giustinodurano minded jewish librarian son become victims perfect mixture dangers around son uses protect open imagination humor holocaust camp 
L.A. Confidential,crime drama mystery curtishanson kevinspacey russellcrowe guypearce kimbasinger crime drama mystery curtishanson kevinspacey russellcrowe guypearce kimbasinger 1950s los angeles three policemen one strait one sleazy one brutal corruption grows series murders laced justice investigate brand 
Men in Black,action adventure comedy barrysonnenfeld tommyleejones willsmith lindafiorentino vincentd'onofrio action adventure comedy barrysonnenfeld tommyleejones willsmith lindafiorentino vincentd'onofrio police officer joins monitors extraterrestrial interactions secret organization polices earth 
The Fifth Element,action adventure sci-fi lucbesson brucewillis millajovovich garyoldman ianholm action adventure sci-fi lucbesson brucewillis millajovovich garyoldman ianholm cab driver unwittingly becomes legendary cosmic weapon keep evil colorful future central figure zorg search mr bay 
The Lost World: Jurassic Park,action adventure sci-fi stevenspielberg jeffgoldblum juliannemoore petepostlethwaite vincevaughn action adventure sci-fi stevenspielberg jeffgoldblum juliannemoore petepostlethwaite vincevaughn jurassic park site b island ingen team approaches research team another agenda study sent dinosaurs 
The Game,drama mystery thriller davidfincher michaeldouglas deborahkaraunger seanpenn jamesrebhorn drama mystery thriller davidfincher michaeldouglas deborahkaraunger seanpenn jamesrebhorn wealthy banker turned upside becomes unable mysterious game game reality participate opportunity life given distinguish 
Face/Off,action crime sci-fi johnwoo johntravolta nicolascage joanallen alessandronivola action crime sci-fi johnwoo johntravolta nicolascage joanallen alessandronivola fbi agent undergoes facial transplant surgery terrorist plot seeks revenge criminal wakes criminal mastermind son prematurely murdered identity foil assume 
The Devil's Advocate,drama mystery thriller taylorhackford keanureeves alpacino charlizetheron jeffreyjones drama mystery thriller taylorhackford keanureeves alpacino charlizetheron jeffreyjones end new york city law firm exceptionally adept florida lawyer end boss biggest opportunity offered job high date career 
Jackie Brown,crime drama thriller quentintarantino pamgrier samuell.jackson robertforster bridgetfonda crime drama thriller quentintarantino pamgrier samuell.jackson robertforster bridgetfonda aged woman finds huge conflict either make profit middle life cost 
Liar Liar,comedy fantasy tomshadyac jimcarrey mauratierney amandadonohoe jennifertilly comedy fantasy tomshadyac jimcarrey mauratierney amandadonohoe jennifertilly 24 hours due track lawyer last time birthday wish son lie fast disappoints 
Donnie Brasco,biography crime drama mikenewell alpacino johnnydepp michaelmadsen brunokirby biography crime drama mikenewell alpacino johnnydepp michaelmadsen brunokirby fbi undercover agent infiltrates regular one mafia life mob identifying finds expense 
Gattaca,drama sci-fi thriller andrewniccol ethanhawke umathurman judelaw gorevidal drama sci-fi thriller andrewniccol ethanhawke umathurman judelaw gorevidal genetically inferior man assumes superior one space travel lifelong dream pursue order identity 
Con Air,action crime thriller simonwest nicolascage johncusack johnmalkovich colmmeaney action crime thriller simonwest nicolascage johncusack johnmalkovich colmmeaney ranger cameron poe finds prisoner transport plane passengers seize control newly paroled ex former u trapped con 
As Good as It Gets,comedy drama romance jamesl.brooks jacknicholson helenhunt gregkinnear cubagoodingjr. comedy drama romance jamesl.brooks jacknicholson helenhunt gregkinnear cubagoodingjr. gay artist form unlikely friendship single mother misanthropic author artist waitress robbery assaulted 
Starship Troopers,action adventure sci-fi paulverhoeven caspervandien deniserichards dinameyer jakebusey action adventure sci-fi paulverhoeven caspervandien deniserichards dinameyer jakebusey militaristic future wage war giant alien bugs humans fascist 
Contact,drama mystery sci-fi robertzemeckis jodiefoster matthewmcconaughey tomskerritt johnhurt drama mystery sci-fi robertzemeckis jodiefoster matthewmcconaughey tomskerritt johnhurt finds conclusive radio proof sending plans mysterious machine extraterrestrial intelligence ellie arroway years searching dr 
Boogie Nights,drama paulthomasanderson markwahlberg juliannemoore burtreynolds luisguzmán drama paulthomasanderson markwahlberg juliannemoore burtreynolds luisguzmán idealistic porn producer aspires hot young talent sex safe pleasure elevate discovers craft business booming back art 
Batman & Robin,action sci-fi joelschumacher arnoldschwarzenegger georgeclooney chriso'donnell umathurman action sci-fi joelschumacher arnoldschwarzenegger georgeclooney chriso'donnell umathurman relationship together even must stop mr freezing gotham city robin try poison ivy keep freeze batman 
Alien: Resurrection,action horror sci-fi jean-pierrejeunet sigourneyweaver winonaryder dominiquepinon ronperlman action horror sci-fi jean-pierrejeunet sigourneyweaver winonaryder dominiquepinon ronperlman alien hybrid clone space pirates reaching earth powerful human ellen ripley deadly aliens 200 years stop revived must death crew battle along 
Austin Powers: International Man of Mystery,adventure comedy jayroach mikemyers elizabethhurley michaelyork mimirogers adventure comedy jayroach mikemyers elizabethhurley michaelyork mimirogers time secret agent thirty years nemesis dr cryogenic state class playboy 1960s emerges world part evil battle 
Cube,drama mystery sci-fi vincenzonatali nicoledeboer mauricedeanwint davidhewlett andrewmiller drama mystery sci-fi vincenzonatali nicoledeboer mauricedeanwint davidhewlett andrewmiller endless maze containing deadly traps widely varying personalities six complete strangers involuntarily placed 
Hercules,animation adventure comedy ronclements johnmusker tatedonovan susanegan jameswoods joshkeaton animation adventure comedy ronclements johnmusker tatedonovan susanegan jameswoods joshkeaton true hero must become zeus stripped son reclaim order infant immortality hera 
Tomorrow Never Dies,action adventure thriller rogerspottiswoode piercebrosnan jonathanpryce michelleyeoh terihatcher action adventure thriller rogerspottiswoode piercebrosnan jonathanpryce michelleyeoh terihatcher obtain exclusive global media coverage james bond sets media mogul induce war uk stop plan order china 
Air Force One,"action drama thriller wolfgangpetersen harrisonford garyoldman glennclose wendycrewson action drama thriller wolfgangpetersen harrisonford garyoldman glennclose wendycrewson communist radicals hijack air force one vice president negotiates c ., president washington veteran u rescue hostages fights family board "
Event Horizon,horror sci-fi thriller paulw.s.anderson laurencefishburne samneill kathleenquinlan joelyrichardson horror sci-fi thriller paulw.s.anderson laurencefishburne samneill kathleenquinlan joelyrichardson rescue crew investigates something new returned ... black hole spaceship someone disappeared board 
Scream 2,horror mystery wescraven nevecampbell courteneycox davidarquette jadapinkettsmith horror mystery wescraven nevecampbell courteneycox davidarquette jadapinkettsmith ghostface costume begins two years someone donning sidney acclimates new string first series college life murders killings 
I Know What You Did Last Summer,horror mystery jimgillespie jenniferlovehewitt sarahmichellegellar anneheche ryanphillippe horror mystery jimgillespie jenniferlovehewitt sarahmichellegellar anneheche ryanphillippe four young friends bound small seaside town wielding maniac tragic accident stalked reunited hook find 
Lost Highway,mystery thriller davidlynch billpullman patriciaarquette johnroselius louiseppolito mystery thriller davidlynch billpullman patriciaarquette johnroselius louiseppolito anonymous videotapes presage murder conviction mechanic astray girlfriend leads musician gangster 
Chasing Amy,comedy drama romance kevinsmith benaffleck joeylaurenadams ethansuplee scottmosier comedy drama romance kevinsmith benaffleck joeylaurenadams ethansuplee scottmosier comic book artists comic book artist meet alyssa going good holden falls holden lesbian hopes finds everything crushed banky also 
Seven Years in Tibet,adventure biography drama jean-jacquesannaud bradpitt davidthewlis bdwong mako adventure biography drama jean-jacquesannaud bradpitt davidthewlis bdwong mako austrian mountain climber true story heinrich harrer dalai lama became friends time tibet takeover china 
My Best Friend's Wedding,comedy drama romance p.j.hogan juliaroberts dermotmulroney camerondiaz ruperteverett comedy drama romance p.j.hogan juliaroberts dermotmulroney camerondiaz ruperteverett time friend reveals woman wedding sets realizes loves long get engaged days 
Anastasia,animation adventure drama donbluth garygoldman megryan johncusack christopherlloyd kelseygrammer animation adventure drama donbluth garygoldman megryan johncusack christopherlloyd kelseygrammer russian royal family joins two con men undead rasputin seeks last surviving child dowager empress reunite grandmother death 
The Jackal,action crime drama michaelcaton-jones brucewillis richardgere sidneypoitier dianevenora action crime drama michaelcaton-jones brucewillis richardgere sidneypoitier dianevenora next job help stop seemingly r imprisoned freed fighter faceless completing brutal assassin 
Home Alone 3,action comedy crime rajagosnell alexd.linz olekkrupa ryakihlstedt lennyvondohlen action comedy crime rajagosnell alexd.linz olekkrupa ryakihlstedt lennyvondohlen secret computer chip old boy living toy car must fend international spies alex pruitt year top seek chicago 8 
The Full Monty,comedy drama petercattaneo robertcarlyle tomwilkinson markaddy wimsnape comedy drama petercattaneo robertcarlyle tomwilkinson markaddy wimsnape six unemployed steel workers form male striptease act women cheer total nudity full monty go 
Bean,adventure comedy family melsmith rowanatkinson petermacnicol johnmills pamelareed adventure comedy family melsmith rowanatkinson petermacnicol johnmills pamelareed los angeles museum highly valuable painting bumbling mr bean travels responsibility given bringing america 
Anaconda,action adventure horror luisllosa jonvoight jenniferlopez ericstoltz icecube action adventure horror luisllosa jonvoight jenniferlopez ericstoltz icecube taken hostage national geographic insane hunter film crew world snake quest largest forces deadliest capture along 
Conspiracy Theory,action mystery thriller richarddonner melgibson juliaroberts patrickstewart cylkcozart action mystery thriller richarddonner melgibson juliaroberts patrickstewart cylkcozart conspiracy theories becomes theories turns taxi driver unfortunately true theory target save penchant one figure 
Grosse Pointe Blank,action comedy crime georgearmitage johncusack minniedriver danaykroyd joancusack action comedy crime georgearmitage johncusack minniedriver danaykroyd joancusack year high school reunion party small detroit suburb taking place professional assassin martin blank grosse pointe time ten sent mission coincidence 
Cop Land,crime drama thriller jamesmangold sylvesterstallone harveykeitel rayliotta robertdeniro crime drama thriller jamesmangold sylvesterstallone harveykeitel rayliotta robertdeniro new york city police officers suburban new jersey community slowly discovers mob connections town sheriff populated front corruption 
Flubber,"comedy family sci-fi lesmayfield robinwilliams marciagayharden christophermcdonald tedlevine comedy family sci-fi lesmayfield robinwilliams marciagayharden christophermcdonald tedlevine minded professor discovers like super flubber ,"" bouncy substance rubber absent "
Dante's Peak,action adventure thriller rogerdonaldson piercebrosnan lindahamilton jamierenéesmith jeremyfoley action adventure thriller rogerdonaldson piercebrosnan lindahamilton jamierenéesmith jeremyfoley countryside town recently named long dormant volcano vulcanologist arrives may wake desirable place second peak moment live discovers dante america 
Wag the Dog,comedy drama barrylevinson dustinhoffman robertdeniro anneheche woodyharrelson comedy drama barrylevinson dustinhoffman robertdeniro anneheche woodyharrelson hollywood producer join efforts presidential sex scandal war spin shortly order fabricate election doctor cover 
Speed 2: Cruise Control,action adventure crime jandebont sandrabullock jasonpatric willemdafoe temueramorrison action adventure crime jandebont sandrabullock jasonpatric willemdafoe temueramorrison seabourn legend cruise liner gigantic oil tanker computer hacker breaks computer system collision course speeding sets 
G.I. Jane,action drama war ridleyscott demimoore viggomortensen annebancroft jasonbeghe action drama war ridleyscott demimoore viggomortensen annebancroft jasonbeghe combined reconnaissance team training female senator succeeds everyone expects woman fail enrolling 
Volcano,action drama sci-fi mickjackson tommyleejones anneheche gabyhoffmann doncheadle action drama sci-fi mickjackson tommyleejones anneheche gabyhoffmann doncheadle downtown los angeles volcano erupts seismologist try inevitable flow city official city stop 
George of the Jungle,action adventure comedy samweisman brendanfraser lesliemann thomashadenchurch richardroundtree action adventure comedy samweisman brendanfraser lesliemann thomashadenchurch richardroundtree wealthy american heiress man raised apes falls love jungle 
Amistad,biography drama history stevenspielberg djimonhounsou matthewmcconaughey anthonyhopkins morganfreeman biography drama history stevenspielberg djimonhounsou matthewmcconaughey anthonyhopkins morganfreeman courts must decide whether spanish owned ship causes mende captives aboard united states major controversy long island legally free ship mende slaves revolt coast captured 1839 
The Postman,action adventure drama kevincostner kevincostner willpatton larenztate oliviawilliams action adventure drama kevincostner kevincostner willpatton larenztate oliviawilliams nameless drifter dons survivors living inspire hope apocalyptic america uniform quest postman post mail begins bag 
The Edge,action adventure drama leetamahori anthonyhopkins alecbaldwin ellemacpherson haroldperrineau action adventure drama leetamahori anthonyhopkins alecbaldwin ellemacpherson haroldperrineau thirsty kodiak bear hunting men struggle intellectual billionaire getting stranded band together alaskan wilderness two survive blood 
Kiss the Girls,crime drama mystery garyfleder morganfreeman ashleyjudd caryelwes alexmcarthur crime drama mystery garyfleder morganfreeman ashleyjudd caryelwes alexmcarthur victim manages serial kidnapper police hunting first time helped escape 
The Rainmaker,crime drama thriller francisfordcoppola mattdamon dannydevito clairedanes jonvoight crime drama thriller francisfordcoppola mattdamon dannydevito clairedanes jonvoight underdog lawyer takes fraudulent insurance company 
Spawn,action drama horror marka.z.dippé michaeljaiwhite johnleguizamo martinsheen theresarandle action drama horror marka.z.dippé michaeljaiwhite johnleguizamo martinsheen theresarandle reluctant soldier elite mercenary comes back killed hell devil 
The Saint,"action adventure romance phillipnoyce valkilmer elisabethshue radeserbedzija valeriynikolaev action adventure romance phillipnoyce valkilmer elisabethshue radeserbedzija valeriynikolaev whose latest job cold fusion puts traitor bent simon templar saint ), russian government secret process secret woman well toppling thief steal odds holds hire "
The Devil's Own,action crime drama alanj.pakula harrisonford bradpitt margaretcolin rubénblades action crime drama alanj.pakula harrisonford bradpitt margaretcolin rubénblades police officer uncovers real identity terrorist r house hiding guest 
The Peacemaker,action thriller mimileder georgeclooney nicolekidman marceliures aleksandrbaluev action thriller mimileder georgeclooney nicolekidman marceliures aleksandrbaluev stolen russian nuclear weapons us army colonel civilian woman supervising must track used terrorists 
The Ice Storm,drama anglee kevinkline joanallen sigourneyweaver henryczerny drama anglee kevinkline joanallen sigourneyweaver henryczerny suburban new canaan substance abuse find class families experimenting lives beyond casual sex middle control connecticut 1973 
Lolita,drama romance adrianlyne jeremyirons dominiqueswain melaniegriffith franklangella drama romance adrianlyne jeremyirons dominiqueswain melaniegriffith franklangella english professor falls minor face consequences actions 
Mousehunt,comedy goreverbinski nathanlane leeevans vickilewis maurychaykin comedy goreverbinski nathanlane leeevans vickilewis maurychaykin two stumblebum inheritors antique house equally determined determined stay rid mouse 
Absolute Power,action crime drama clinteastwood clinteastwood genehackman edharris lauralinney action crime drama clinteastwood clinteastwood genehackman edharris lauralinney horrific crime involving u career thief luther whitney president alan richmond gene hackman ). clint eastwood witnesses 
Breakdown,crime drama mystery jonathanmostow kurtrussell j.t.walsh kathleenquinlan m.c.gainey crime drama mystery jonathanmostow kurtrussell j.t.walsh kathleenquinlan m.c.gainey missing wife man searches car breaks middle desert 
Mortal Kombat: Annihilation,action adventure fantasy johnr.leonetti robinshou talisasoto jamesremar sandrahess action adventure fantasy johnr.leonetti robinshou talisasoto jamesremar sandrahess martial arts warriors six days dimensional invasion save group extra earth 
U Turn,crime drama thriller oliverstone seanpenn jenniferlopez nicknolte billybobthornton crime drama thriller oliverstone seanpenn jenniferlopez nicknolte billybobthornton russian mafia kills man heading go wrong gambling debt arizona town vegas stop pay forced everything 
